Industry,Gender,education_level,avg_salary
"Accounting, Banking & Finance",Woman,"Some college",64557.180451
"Accounting, Banking & Finance",Non-binary,"Some college",60375.000000
"Accounting, Banking & Finance",Man,Unknown,60000.000000
"Accounting, Banking & Finance",Woman,"High School",56489.358974
"Accounting, Banking & Finance","Other or prefer not to answer","Some college",50500.000000
"Accounting, Banking & Finance",Non-binary,"College degree",50217.692308
"Accounting, Banking & Finance",Non-binary,"Master's degree",44333.333333
"Accounting, Banking & Finance","Other or prefer not to answer",Unknown,30.000000
Actuarial,Woman,"College degree",41000.000000
Administration,Woman,"College degree",40000.000000
"Administration ",Woman,"College degree",30000.000000
"Administration (food service)",Woman,"College degree",29120.000000
"Administration in MLM",Woman,"Some college",42000.000000
"Administration, IT",Woman,"College degree",63300.000000
"Administrative ",Woman,"Some college",35360.000000
"Administrative Support",Woman,"Some college",67558.000000
"Administrative Work",Woman,"College degree",51000.000000
"Adult education",Woman,"College degree",35568.000000
Aerospace,Man,"Master's degree",155000.000000
Aerospace,Woman,"College degree",82500.000000
"Aerospace ",Woman,"College degree",107000.000000
"Aerospace & Defense",Woman,"College degree",128000.000000
"Aerospace and Defense",Woman,"College degree",78750.000000
"Aerospace and Defense/Government Contracting",Woman,"College degree",52000.000000
"Aerospace contracting",Woman,"Master's degree",122000.000000
"aerospace data",Woman,"Master's degree",57000.000000
"Aerospace Manufacturing",Man,"College degree",154500.000000
Aerospace/aviation,Woman,"College degree",76000.000000
"Aerospace/Aviation ",Woman,"Master's degree",90000.000000
Aerospace/Defense,Woman,"College degree",68800.000000
"Affordable Housing Real Estate Development (nonprofit)",Woman,"Master's degree",144200.000000
"Agriculture or Forestry",Non-binary,PhD,500000.000000
"Agriculture or Forestry",Non-binary,"Some college",484151.500000
"Agriculture or Forestry",Man,"High School",140000.000000
"Agriculture or Forestry",Woman,PhD,94493.000000
"Agriculture or Forestry","Prefer not to answer",PhD,88000.000000
"Agriculture or Forestry",Man,PhD,87500.000000
"Agriculture or Forestry",Woman,"High School",79900.000000
"Agriculture or Forestry","Other or prefer not to answer","College degree",77550.000000
"Agriculture or Forestry",Woman,"Master's degree",77501.000000
"Agriculture or Forestry",Man,"College degree",77292.307692
"Agriculture or Forestry",Woman,"College degree",66535.732143
"Agriculture or Forestry",Non-binary,"College degree",54281.600000
"Agriculture or Forestry",Woman,"Some college",47313.555556
"Agriculture or Forestry",Non-binary,"Master's degree",41000.000000
"Agriculture or Forestry",Man,"Some college",38056.500000
"Agriculture or Forestry","Other or prefer not to answer","Some college",26000.000000
"Agriculture/Agriculture Chemical ",Man,"College degree",91112.000000
Airline,Woman,"College degree",80000.000000
AmeriCorps,Woman,"Master's degree",15400.000000
"Analytical Chemistry",Woman,"College degree",56000.000000
"Analytical lab",Woman,"College degree",30368.000000
Analytics,Woman,"Master's degree",162000.000000
"Animal Care",Woman,"College degree",32244.500000
"Animal Health",Woman,"College degree",72000.000000
"Animal health industry",Woman,"College degree",127000.000000
"Animal Health Product Manufacturing",Woman,"College degree",75000.000000
"Animal welfare",Woman,"College degree",82908.000000
Animation,Woman,"College degree",79000.000000
Apparel,Woman,"College degree",77500.000000
"Apparel ",Woman,"Master's degree",125000.000000
"apparel design/product development ",Woman,"College degree",52000.000000
"Apparel manufacture",Woman,"Master's degree",66000.000000
Archaeologist,Man,"College degree",48000.000000
Archaeology,Woman,"Master's degree",55000.000000
"Archaeology / Cultural Resource Management",Woman,"Master's degree",79000.000000
"Archaeology/Cultural Resource Manager","Other or prefer not to answer","Master's degree",110000.000000
Architect,Woman,"College degree",94500.000000
"Architect ",Woman,"College degree",96000.000000
"Architectural/Land Planning/Civil Engineering",Woman,"College degree",53500.000000
Architecture,Woman,"Professional degree (MD, JD, etc.)",96333.333333
Architecture,Woman,"Master's degree",88500.000000
architecture,Woman,"College degree",76270.000000
Architecture,Man,"College degree",58000.000000
Architecture,Non-binary,"College degree",53000.000000
Architecture,"Other or prefer not to answer","College degree",48880.000000
"Architecture ",Woman,"College degree",72333.333333
"Architecture / Engineering",Woman,"College degree",62860.000000
"Architecture & Construction",Woman,"Master's degree",75000.000000
"Architecture and engineering consulting and design ",Woman,"Master's degree",101000.000000
Architecture/Construction,Woman,"Master's degree",77400.000000
Archives,Woman,"College degree",97282.000000
Archives,Woman,"Master's degree",52000.000000
Archives,Woman,PhD,40322.000000
"Archives ",Woman,"Master's degree",67000.000000
Archives/Libraries,Woman,"Master's degree",62271.000000
"Archives/Library Science",Woman,"Master's degree",52500.000000
"Art & Design",Woman,"Master's degree",117846.900000
"Art & Design",Woman,PhD,105000.000000
"Art & Design",Unknown,"Master's degree",100000.000000
"Art & Design",Man,"Some college",96196.000000
"Art & Design",Woman,"College degree",75714.700535
"Art & Design",Man,"Master's degree",75110.000000
"Art & Design",Man,"College degree",74854.761905
"Art & Design","Other or prefer not to answer","College degree",66000.000000
"Art & Design",Woman,"Some college",65937.142857
"Art & Design",Woman,"Professional degree (MD, JD, etc.)",65000.000000
"Art & Design",Non-binary,"College degree",64240.785714
"Art & Design",Non-binary,"Some college",60440.000000
"Art & Design",Man,"High School",52166.666667
"Art & Design",Man,"Professional degree (MD, JD, etc.)",33600.000000
"Art & Design","Other or prefer not to answer","High School",28000.000000
"Art & Design",Woman,Unknown,54.000000
"art appraisal",Woman,"College degree",39000.000000
"Arts Administration ",Woman,"College degree",61000.000000
"Arts, Culture and Heritage",Woman,"College degree",27030.000000
Association,Woman,"College degree",67000.000000
"association management",Woman,"Master's degree",68000.000000
"Association Management ",Woman,"College degree",49000.000000
"Auction house",Woman,"College degree",55000.000000
"Auction House",Woman,"Master's degree",20000.000000
"Auto Mfg.",Man,"Some college",104000.000000
"auto repair",Woman,"College degree",56000.000000
"Auto Repair",Man,"Some college",50000.000000
"auto repair",Non-binary,"Master's degree",31200.000000
Automotive,Woman,PhD,229500.000000
Automotive,Woman,"Master's degree",105000.000000
Automotive,Woman,"College degree",95375.000000
Automotive,Man,"College degree",80000.000000
Automotive,Man,"Master's degree",51500.000000
"Automotive ",Woman,"College degree",97000.000000
"Automotive ",Man,"High School",75000.000000
"Automotive finance and insurance",Woman,"College degree",87500.000000
"Automotive Repair",Woman,"Some college",39520.000000
"Automotive repair",Woman,"Master's degree",31200.000000
"Automotive technician",Man,"High School",49000.000000
"Automtive Repair",Woman,"High School",50000.000000
aviation,Woman,"Master's degree",75000.000000
Aviation,Woman,"College degree",52400.000000
Aviation,Man,"High School",28700.000000
"awards and engraving",Woman,"High School",35000.000000
"B2B Services ",Woman,"Some college",115000.000000
"Background Screening",Woman,"College degree",69000.000000
Beauty,Woman,"College degree",73700.000000
"Beauty /CPG ",Woman,"Master's degree",131000.000000
"Beauty Manufacturing & Education ",Woman,"College degree",35360.000000
"Beauty, Cosmetics, Fragrance",Woman,"College degree",105000.000000
"Beauty/service industry ",Woman,"Some college",72800.000000
"Beer sales",Man,"College degree",60000.000000
"Behavior analysis/mental health",Woman,"Master's degree",90000.000000
"Behavioral Health",Man,"Professional degree (MD, JD, etc.)",53560.000000
"Behavioral Health",Woman,"Master's degree",52416.000000
"Benefits Administration",Man,"College degree",108000.000000
"Benefits Administration",Woman,"College degree",89000.000000
Beverage,Woman,"Master's degree",67000.000000
"Beverage & Spirits",Woman,"Master's degree",103000.000000
"Beverage Distribution",Woman,"Some college",40000.000000
"Beverage Production",Man,"College degree",52600.000000
"Big Pharma",Woman,PhD,220000.000000
"Bio tech",Woman,"College degree",107250.000000
"Bioinformatics ",Woman,"Master's degree",110000.000000
"biological research",Woman,PhD,36364.000000
"biological research",Woman,"College degree",34000.000000
"Biological Sciences",Woman,"College degree",78000.000000
Biologist,Woman,PhD,37000.000000
Biology,Man,"Some college",29000.000000
Biology/Research,Non-binary,"Master's degree",40000.000000
"Biomedical Research",Man,PhD,112500.000000
"Biomedical Research",Woman,PhD,67142.500000
"Biomedical Research",Woman,"College degree",66250.000000
"Biomedical Research",Woman,"Master's degree",60152.000000
Biopharma,Woman,"Master's degree",175000.000000
Biopharma,Man,"College degree",114000.000000
Biopharma,Woman,"College degree",103000.000000
Biopharmaceuticals,Woman,"Master's degree",150000.000000
"Bioscience Company",Woman,"College degree",47500.000000
Biotech,Man,"Some college",225000.000000
Biotech,Man,PhD,161266.666667
Biotech,Woman,PhD,124210.714286
Biotech,Woman,"High School",107000.000000
biotech,Woman,"Master's degree",106825.166667
Biotech,Non-binary,"Master's degree",86000.000000
Biotech,Woman,"College degree",83202.812500
Biotech,Man,"Master's degree",65000.000000
Biotech,Man,"College degree",36400.000000
"Biotech ",Woman,"College degree",123000.000000
"Biotech ",Man,"College degree",105000.000000
"Biotech (R&D) ",Woman,PhD,556200.000000
"Biotech / life sciences ",Woman,"College degree",196000.000000
"Biotech / Pharmaceutical Industry",Woman,"Master's degree",160000.000000
"Biotech / Research",Man,"Master's degree",100000.000000
"Biotech industry",Unknown,"Master's degree",215250.000000
"Biotech manufacturing",Woman,"College degree",92000.000000
"Biotech pharmaceuticals",Woman,"College degree",116300.000000
"Biotech R&D",Woman,"College degree",130000.000000
"Biotech research ",Woman,"Master's degree",112000.000000
"Biotech/Drug Development",Woman,"College degree",90000.000000
Biotech/Pharma,Woman,"Master's degree",141000.000000
Biotech/pharma,Woman,PhD,138400.000000
Biotech/Pharma,Woman,"College degree",134500.000000
Biotech/Pharma,Man,PhD,130000.000000
Biotech/Pharma,Man,"Master's degree",81000.000000
Biotech/pharmaceuticals,Woman,"Some college",222000.000000
Biotech/Pharmaceuticals,Woman,PhD,90000.000000
"Biotech/pharmaceuticals ",Man,"College degree",227000.000000
Biotech/software,Woman,"College degree",105000.000000
Biotechnology,Man,"Master's degree",108800.000000
Biotechnology,Woman,PhD,88900.000000
Biotechnology,Woman,"College degree",82000.000000
Biotechnology,Man,"College degree",66500.000000
Biotechnology,Non-binary,"College degree",49000.000000
"Biotechnology ",Woman,"College degree",155500.000000
"Biotechnology ",Woman,PhD,154083.333333
"Biotechnology, Research and Development",Woman,"College degree",95000.000000
"Biotechnology/Life Sciences",Woman,"Master's degree",84000.000000
Bitech,Woman,"College degree",175000.000000
"Book publishing",Woman,"College degree",61333.333333
"Book Publishing",Woman,"Master's degree",47033.333333
"Brain research ",Woman,"College degree",28000.000000
Brewing,Man,"College degree",57000.000000
"Business or Consulting",Unknown,"Professional degree (MD, JD, etc.)",1300000.000000
"Business or Consulting",Unknown,PhD,170000.000000
"Business or Consulting",Man,"Professional degree (MD, JD, etc.)",165220.166667
"Business or Consulting","Other or prefer not to answer","Professional degree (MD, JD, etc.)",157500.000000
"Business or Consulting",Man,"Master's degree",153407.894737
"Business or Consulting",Man,PhD,153000.000000
"Business or Consulting",Woman,"Professional degree (MD, JD, etc.)",141972.222222
"Business or Consulting",Man,"Some college",122034.285714
"Business or Consulting",Non-binary,"Master's degree",121400.000000
"Business or Consulting",Woman,PhD,118240.190476
"Business or Consulting",Unknown,"College degree",112000.000000
"Business or Consulting",Non-binary,PhD,112000.000000
"Business or Consulting",Man,"College degree",111104.291667
"Business or Consulting",Woman,"Master's degree",110813.682403
"Business or Consulting",Woman,Unknown,105750.000000
"Business or Consulting",Woman,"College degree",91511.232628
"Business or Consulting","Other or prefer not to answer","Master's degree",90000.000000
"Business or Consulting",Unknown,Unknown,83500.000000
"Business or Consulting","Other or prefer not to answer","College degree",82780.000000
"Business or Consulting",Woman,"Some college",78670.857143
"Business or Consulting",Unknown,"Master's degree",77000.000000
"Business or Consulting",Non-binary,"College degree",59644.615385
"Business or Consulting",Woman,"High School",57140.000000
"Business or Consulting",Man,"High School",54253.333333
"Business or Consulting",Non-binary,"Some college",24000.000000
"Business Process Outsourcing",Woman,"Master's degree",40000.000000
"Business Process Outsourcing ",Woman,"Master's degree",53680.000000
"Business Services",Woman,"Master's degree",50000.000000
"Call center",Man,"College degree",70000.000000
"CALL CENTER",Woman,"Some college",25480.000000
"Cancer research, not for profit",Woman,"Some college",71700.000000
Cannabis,Woman,"Master's degree",75000.000000
Cannabis,Man,"College degree",65000.000000
Cannabis,Woman,"College degree",62333.333333
"Cannabis compliance",Woman,"Master's degree",100000.000000
"Career & Technical Training",Woman,"Master's degree",46800.000000
Caregiver,Woman,"College degree",33280.000000
"CBD Manufacturing",Woman,"College degree",60000.000000
Chaplain,Woman,"Professional degree (MD, JD, etc.)",40000.000000
Charity,Woman,"Some college",17400.000000
Chemical,Woman,PhD,110000.000000
"Chemical Manufacturing",Woman,"College degree",47902.000000
"Chemicals ",Woman,"Master's degree",102000.000000
"Chemicals/ Materials",Woman,PhD,109400.000000
Chemistry,Woman,PhD,107000.000000
chemistry,Non-binary,"College degree",41766.000000
"Child and Yout Care",Man,"College degree",36672.000000
"Child care",Woman,"College degree",40700.000000
"Child care",Woman,"Some college",38000.000000
"Child Care Resource and Referral Agency",Woman,"College degree",3200.000000
Childcare,Woman,"College degree",38740.000000
Childcare,Non-binary,"Some college",28100.000000
"Childcare ",Woman,"Master's degree",90000.000000
"childcare ",Woman,"College degree",19000.000000
"Childcare (0-5 so does not come under Primary education)",Woman,"College degree",19760.000000
Church,Man,"Master's degree",50000.000000
Church,Woman,"College degree",45000.000000
"Church ministry",Woman,"Master's degree",55000.000000
"Clean Energy (eg. energy efficiency, renewables, etc.)",Man,"Master's degree",200000.000000
Cleaning,Woman,"High School",41600.000000
Clergy,Woman,"Professional degree (MD, JD, etc.)",108150.000000
Clergy,Woman,"Master's degree",63000.000000
Clergy,Man,"Master's degree",50000.000000
Clergy,Woman,"College degree",42000.000000
"Clinical & Translational Reserach",Woman,"College degree",76000.000000
"clinical research",Woman,"Master's degree",108333.333333
"clinical research",Woman,"College degree",66413.000000
"Clinical Research ",Woman,"Master's degree",69800.000000
"Clinical research ",Woman,"College degree",58500.000000
"Clinical research and development ",Woman,"College degree",65000.000000
"Clinical Research Manager - academic institution",Woman,"College degree",82000.000000
"Clinical trials",Man,"College degree",68000.000000
"clinical trials research coordination",Woman,"Master's degree",44000.000000
coaching,Woman,"Master's degree",44000.000000
"Coffee - Importing",Non-binary,"College degree",95000.000000
"College Athletics",Woman,"College degree",37500.000000
"Commercial Building Material Distribution",Man,"Some college",400000.000000
"Commercial Fisherman",Man,"Some college",26000.000000
"Commercial furniture",Woman,"High School",40000.000000
"Commercial Landscaping ",Woman,"Master's degree",42840.000000
"Commercial Real Estate",Woman,"College degree",87200.000000
"Commercial Real Estate ",Woman,"Some college",55000.000000
"Commercial Real Estate ",Woman,"College degree",49330.000000
"Commercial Real Estate Data and Analytics/Research",Woman,"College degree",68700.000000
"Commercial real estate tenancy",Woman,"College degree",43187.000000
"commodities trading",Woman,"College degree",75000.000000
"Communication Research",Woman,PhD,90456.000000
Communications,Man,"College degree",76500.000000
Communications,Woman,"College degree",55935.000000
Communications,Woman,"Master's degree",23010.000000
"Communications ",Woman,"Some college",100000.000000
Communications/publications,Woman,"College degree",36920.000000
"Community Foundation",Woman,"Master's degree",84000.000000
"Community Management",Woman,"Some college",64000.000000
Compliance,Woman,"Professional degree (MD, JD, etc.)",112000.000000
Compliance,Woman,"College degree",54313.000000
"Compliance ",Woman,"Professional degree (MD, JD, etc.)",83000.000000
"Computing or Tech",Man,Unknown,312940.650000
"Computing or Tech",Unknown,"High School",295000.000000
"Computing or Tech",Man,"Professional degree (MD, JD, etc.)",268583.333333
"Computing or Tech",Man,PhD,246693.638554
"Computing or Tech",Unknown,PhD,245000.000000
"Computing or Tech",Non-binary,"High School",232688.000000
"Computing or Tech",Unknown,"Master's degree",172333.333333
"Computing or Tech",Man,"Master's degree",155435.461538
"Computing or Tech",Woman,PhD,149321.813187
"Computing or Tech","Other or prefer not to answer","High School",148333.333333
"Computing or Tech",Woman,"Professional degree (MD, JD, etc.)",147923.275862
"Computing or Tech",Man,"College degree",147179.388989
"Computing or Tech",Non-binary,PhD,140000.000000
"Computing or Tech",Woman,"Master's degree",137451.553488
"Computing or Tech",Man,"Some college",134817.737452
"Computing or Tech","Other or prefer not to answer","Master's degree",131871.428571
"Computing or Tech","Other or prefer not to answer","College degree",130463.333333
"Computing or Tech",Man,"High School",129755.561905
"Computing or Tech","Other or prefer not to answer","Some college",124833.333333
"Computing or Tech",Non-binary,"Master's degree",124048.064516
"Computing or Tech",Woman,"College degree",119607.845188
"Computing or Tech",Non-binary,"College degree",112121.642857
"Computing or Tech",Unknown,"College degree",110125.000000
"Computing or Tech",Non-binary,"Some college",109086.190476
"Computing or Tech",Unknown,Unknown,105304.375000
"Computing or Tech",Woman,"Some college",101080.900621
"Computing or Tech","Other or prefer not to answer",Unknown,100040.000000
"Computing or Tech","Other or prefer not to answer","Professional degree (MD, JD, etc.)",100000.000000
"Computing or Tech",Woman,Unknown,97000.000000
"Computing or Tech",Woman,"High School",92019.583333
"Computing/Tech + Higher Ed + Nonprofit",Non-binary,"Master's degree",81200.000000
Concrete,Woman,"College degree",44000.000000
"Concrete Construction",Man,"Some college",28600.000000
Conservation,Man,"Master's degree",36000.000000
Construction,Woman,"High School",116000.000000
Construction,Woman,"College degree",74366.666667
Construction,Man,"College degree",70000.000000
Construction,Man,"Some college",69520.000000
Construction,Woman,"Some college",48000.000000
"Construction ",Woman,"Some college",100000.000000
"construction ",Woman,"College degree",62000.000000
"Construction ",Man,"High School",60000.000000
"Construction ",Man,"College degree",52500.000000
"Construction / Stone industry",Woman,"High School",23000.000000
"Construction Management",Woman,"College degree",60000.000000
"Construction, HVAC ",Woman,"College degree",62400.000000
"Construction, mining, manufacturing",Woman,"College degree",80000.000000
Consultant,Man,"College degree",60000.000000
Consulting,Man,"Some college",250000.000000
Consulting,Man,"Master's degree",200000.000000
Consulting,Woman,"Master's degree",177500.000000
Consulting,Non-binary,"Master's degree",92000.000000
Consulting,Woman,"College degree",70000.000000
"Consulting ",Man,"Master's degree",65000.000000
"Consulting / Professional Services",Non-binary,"College degree",50000.000000
"Consulting Operations- Big 4",Woman,"College degree",100000.000000
"Consumer food products ",Woman,"Master's degree",145000.000000
"Consumer Good (Toys)",Woman,"College degree",92000.000000
"Consumer goods",Woman,"Master's degree",142950.000000
"Consumer Goods",Man,"Master's degree",130000.000000
"Consumer Goods",Woman,"College degree",127250.000000
"Consumer Goods Production",Woman,"College degree",55000.000000
"Consumer Packaged Goods",Man,"Professional degree (MD, JD, etc.)",160000.000000
"Consumer Packaged Goods",Woman,PhD,134971.000000
"Consumer Packaged Goods",Woman,"College degree",112472.500000
"Consumer packaged goods",Man,"College degree",90000.000000
"Consumer packaged goods ",Woman,"College degree",95000.000000
"consumer product design",Man,"Master's degree",117000.000000
"Consumer Product Goods",Woman,"College degree",75000.000000
"Consumer Product Organization ",Woman,"Master's degree",85000.000000
"consumer products",Woman,"Some college",147000.000000
"Consumer Products design ",Woman,"College degree",69000.000000
"Consumer Research",Woman,PhD,97000.000000
"Consumer/Packaged Goods",Woman,"College degree",95000.000000
"Contact Center",Woman,"College degree",75000.000000
"Content Review - Copyright/DMCA",Man,"Some college",51000.000000
"Contract Research",Woman,PhD,105000.000000
"Contract research organisation",Woman,"College degree",60121.000000
"Corporate accounting in death care (funeral & cemetery)",Woman,"Master's degree",103000.000000
"Corporate Learning and Development",Woman,"Master's degree",80000.000000
"Corporate Sustainability ",Woman,"Master's degree",110000.000000
"Corporate sustainability ",Woman,"College degree",86000.000000
"Corporate Training",Woman,"Master's degree",280000.000000
"Corporate Travel Industry",Woman,"College degree",91000.000000
"Cosmetology ",Woman,"Some college",80000.000000
"Costruction admin",Woman,"Some college",38000.000000
Counseling,Woman,"Master's degree",40000.000000
Counselling,Woman,"Master's degree",90000.000000
CPG,Woman,"Some college",68000.000000
"CPG / Retail",Woman,"Master's degree",175000.000000
"Craft Beer Industry ",Woman,"College degree",70000.000000
"cultural (museums/galleries)",Woman,"Master's degree",40000.000000
"Cultural Heritage",Woman,"Master's degree",60500.000000
"Cultural Resource Management",Woman,"College degree",56388.000000
"Cultural Resources Management/Major Univ.",Woman,"Master's degree",30000.000000
Culture,Woman,"Master's degree",15000.000000
"Customer service",Non-binary,"Master's degree",2300000.000000
"Customer Service",Woman,"College degree",44429.666667
"Customer Service",Man,"College degree",41600.000000
"Customer service ",Woman,"Some college",55.000000
"Customer service/call center",Non-binary,"College degree",40000.000000
"Customer service/publishing-adjacent ",Woman,PhD,64500.000000
"Data Analytics",Man,"College degree",55000.000000
"Data Breach",Man,"Some college",56410.000000
"Data Entry",Woman,"Some college",31000.000000
"Data/Institutional Research in Higher Education",Woman,"College degree",57211.000000
"Database subscription services",Woman,"Some college",100000.000000
Defense,Woman,"College degree",172000.000000
Defense,Woman,"Master's degree",129666.666667
Defense,Woman,PhD,86953.000000
Defense,Woman,"High School",33000.000000
"Defense ",Man,"College degree",71000.000000
"Defense Contracting",Woman,"Master's degree",115000.000000
"Defense contracting",Woman,"College degree",96750.000000
"Defense Contractor",Woman,"Master's degree",69000.000000
"Delivery and installation for commercial machinery",Man,"Some college",30000.000000
"Diagnostic Medical Devices",Man,"Master's degree",68000.000000
Digital,Woman,"College degree",42860.000000
"digital commerce / ecommerce",Man,"College degree",100000.000000
"Digital Marketing",Woman,"College degree",76700.000000
"digital marketing within a book publishing company (please reclassify as you see fit)",Woman,"College degree",50000.000000
"Direct support  professional  in a group  home",Man,"College degree",32280.000000
Distribution,Woman,"Master's degree",128000.000000
Distribution,Woman,"Some college",101000.000000
Distribution,Woman,"College degree",95000.000000
"Diversity, Equity & Inclusion ",Woman,"College degree",140000.000000
"DoD Contracting",Woman,"College degree",93000.000000
"Drug development ",Man,"Master's degree",147000.000000
"E commerce ",Woman,"College degree",42000.000000
e-comm,Woman,"College degree",115000.000000
E-commerce,Woman,"College degree",64000.000000
E-commerce,Woman,"Master's degree",50083.333333
"E-commerce ",Woman,"Professional degree (MD, JD, etc.)",50000.000000
Eap,Woman,"College degree",73000.000000
"Early Childhood Education",Woman,"Master's degree",117500.000000
"Early Childhood Education",Woman,"College degree",36000.000000
"Early childhood education (preschool)",Woman,"Master's degree",106000.000000
"Early Education",Unknown,"College degree",40000.000000
"Early Education (corporate office)",Woman,"College degree",52000.000000
"Earth sciences",Woman,"Master's degree",75000.000000
"Ecology ",Woman,"Master's degree",54000.000000
Ecommerce,Woman,"College degree",47840.000000
"ECommerce ",Woman,"College degree",120000.000000
"Ecommerce - Technology",Man,"College degree",125000.000000
"Ecommerce fraud",Woman,"College degree",120000.000000
economics,Woman,PhD,138000.000000
"Ed Tech",Woman,"College degree",90000.000000
"Editor in educational publishing",Woman,"Some college",49000.000000
Edtech,Woman,"College degree",58500.000000
"Educ tech",Woman,"Some college",42000.000000
"Education (Early Childhood Education)",Woman,"College degree",62400.000000
"Education (early childhood)",Woman,"College degree",60000.000000
"Education (Higher Education)",Man,PhD,3035333.080645
"Education (Higher Education)",Woman,"College degree",1765185.952941
"Education (Higher Education)",Woman,Unknown,694161.769231
"Education (Higher Education)",Woman,"Professional degree (MD, JD, etc.)",122447.142857
"Education (Higher Education)",Man,"Professional degree (MD, JD, etc.)",95600.000000
"Education (Higher Education)",Man,Unknown,87552.000000
"Education (Higher Education)",Unknown,PhD,81833.333333
"Education (Higher Education)",Woman,PhD,80906.379487
"Education (Higher Education)",Woman,"Master's degree",75177.632066
"Education (Higher Education)","Other or prefer not to answer",PhD,73289.142857
"Education (Higher Education)",Non-binary,Unknown,73000.000000
"Education (Higher Education)",Man,"Master's degree",67986.925000
"Education (Higher Education)",Man,"College degree",66595.548387
"Education (Higher Education)","Other or prefer not to answer","Professional degree (MD, JD, etc.)",65386.000000
"Education (Higher Education)","Other or prefer not to answer","Master's degree",61232.142857
"Education (Higher Education)",Man,"Some college",60106.769231
"Education (Higher Education)",Woman,"Some college",58980.486486
"Education (Higher Education)",Man,"High School",58250.000000
"Education (Higher Education)",Non-binary,PhD,57587.555556
"Education (Higher Education)",Unknown,"Master's degree",56376.500000
"Education (Higher Education)",Non-binary,"Master's degree",55964.270270
"Education (Higher Education)",Non-binary,"College degree",55868.562500
"Education (Higher Education)","Other or prefer not to answer","College degree",55352.125000
"Education (Higher Education)",Unknown,"College degree",51500.000000
"Education (Higher Education)",Woman,"High School",50080.000000
"Education (Higher Education)",Non-binary,"High School",48000.000000
"Education (Higher Education)",Non-binary,"Some college",46000.000000
"Education (Higher Education)",Non-binary,"Professional degree (MD, JD, etc.)",46000.000000
"Education (Higher Education)",Unknown,Unknown,42966.250000
"Education (Other)",Non-binary,"Master's degree",70270.000000
"Education (Primary/Secondary)",Man,"High School",210000.000000
"Education (Primary/Secondary)",Woman,"College degree",167062.092437
"Education (Primary/Secondary)",Man,PhD,111068.333333
"Education (Primary/Secondary)",Man,"Master's degree",90139.970588
"Education (Primary/Secondary)",Woman,"Master's degree",81989.383085
"Education (Primary/Secondary)",Woman,PhD,80708.000000
"Education (Primary/Secondary)",Woman,"Professional degree (MD, JD, etc.)",77466.578947
"Education (Primary/Secondary)",Unknown,"Master's degree",70600.000000
"Education (Primary/Secondary)",Non-binary,"Professional degree (MD, JD, etc.)",69719.000000
"Education (Primary/Secondary)",Woman,"High School",68403.200000
"Education (Primary/Secondary)",Non-binary,"Master's degree",59640.500000
"Education (Primary/Secondary)",Unknown,Unknown,58000.000000
"Education (Primary/Secondary)",Woman,Unknown,53240.000000
"Education (Primary/Secondary)",Non-binary,"College degree",51977.500000
